name,position,team,pos_rank,model_total,model_ppg,model_games,model_floor,model_ceiling,sleeper_total,sleeper_ppr_native,sleeper_games,slp_pass_yd,slp_pass_td,slp_pass_int,slp_rush_yd,slp_rush_td,slp_rec,slp_rec_yd,slp_rec_td,slp_fum_lost,diff,diff_pct,abs_diff,sleeper_ppg,ppg_diff,games_diff,pts_from_games_diff,pts_from_ppg_diff
Jake Ferguson,TE,DAL,9,140.0,10.2,13.8,78.0,192.0,159.8,159.8,18.0,0.0,0.0,0.0,0.0,0.0,70.0,618.0,5.0,1.0,-19.80000000000001,-12.390488110137678,19.80000000000001,8.877777777777778,1.322222222222221,-4.199999999999999,-37.28666666666666,18.246666666666652
Tyquan Thornton,WR,KC,125,51.0,5.3,9.7,18.0,99.0,31.3,31.3,18.0,0.0,0.0,0.0,0.0,0.0,10.0,153.0,1.0,0.0,19.7,62.939297124600635,19.7,1.738888888888889,3.561111111111111,-8.3,-14.43277777777778,34.54277777777777
Ashton Jeanty,RB,LV,4,240.0,15.9,15.0,163.0,307.0,259.5,259.5,18.0,0.0,0.0,0.0,1152.0,8.0,50.0,383.0,2.0,2.0,-19.5,-7.514450867052023,19.5,14.416666666666666,1.4833333333333343,-3.0,-43.25,22.250000000000014
Luke Musgrave,TE,GB,49,60.0,5.5,10.9,23.0,92.0,40.6,40.6,18.0,0.0,0.0,0.0,0.0,0.0,17.0,176.0,1.0,0.0,19.4,47.78325123152709,19.4,2.2555555555555555,3.2444444444444445,-7.1,-16.014444444444443,35.364444444444445
Julian Hill,TE,MIA,98,25.0,2.4,10.6,7.0,52.0,5.6,5.6,18.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0,0.0,19.4,346.42857142857144,19.4,0.3111111111111111,2.0888888888888886,-7.4,-2.3022222222222224,22.14222222222222
Daniel Bellinger,TE,NYG,52,55.0,4.6,12.1,21.0,80.0,35.9,35.9,18.0,0.0,0.0,0.0,0.0,0.0,15.0,149.0,1.0,0.0,19.1,53.20334261838441,19.1,1.9944444444444445,2.605555555555555,-5.9,-11.767222222222223,31.527222222222218
Justin Joly,TE,,119,19.0,2.5,7.7,0.0,62.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,19.0,0.0,2.5,-10.3,0.0,19.25
Laquon Treadwell,WR,IND,230,19.0,2.6,7.3,9.0,46.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,19.0,0.0,2.6,-10.7,0.0,18.98
BAL DST,DST,BAL,24,76.0,4.7,16.0,52.0,109.0,95.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,-20.0,19.0,95.0,-90.3,15.0,1425.0,-1444.8
Michael Trigg,TE,,120,19.0,2.5,7.7,0.0,62.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,19.0,0.0,2.5,-10.3,0.0,19.25
