player_display_name,position_group,team,projected_ppg,projected_games,projected_total,pos_rank,total_floor,total_ceiling
J. T. Realmuto,C,PHI,2.4,110.8,261,9,162,325
Joey Cantillo,RP,CLE,8.3,31.4,261,12,82,440
Jacob Lopez,SP,OAK,9.2,28.4,261,101,98,468
Daulton Varsho,OF,TOR,2.5,103.7,259,46,174,349
Dustin May,SP,BOS,8.0,32.4,259,102,96,481
Ryan O'Hearn,1B,SD,2.4,107.2,258,18,186,301
Felix Bautista,RP,BAL,5.4,47.4,258,13,111,312
Miles Mikolas,SP,STL,9.2,28.2,258,103,105,388
Tyler Anderson,SP,LAA,7.6,33.5,256,104,129,447
Keibert Ruiz,C,WSN,2.3,112.5,255,10,142,318
Ryan Pepiot,SP,TB,9.2,27.6,255,105,136,400
Shane Smith,SP,CWS,8.4,30.5,255,106,150,444
Jorge Polanco,DH,SEA,2.5,103.5,254,14,181,334
Will Smith,C,LAD,2.5,101.0,254,11,184,339
Chase Dollander,SP,COL,6.7,37.9,253,107,85,560
Jack Kochanowicz,SP,LAA,8.0,31.5,253,108,79,458
Seth Lugo,SP,KC,8.4,30.2,253,109,148,437
Carmen Mlodzinski,RP,PIT,6.0,41.9,253,14,104,577
Jazz Chisholm,2B,NYY,2.4,105.3,252,17,196,376
Ivan Herrera,DH,STL,2.5,102.4,252,15,187,321
Josh Lowe,OF,TB,2.6,97.5,252,47,161,287
Andrew Vaughn,1B,MIL,2.3,110.6,252,19,193,304
Nathaniel Lowe,1B,BOS,2.4,106.3,251,20,173,306
Davis Martin,SP,CWS,7.9,31.7,251,110,111,422
Andrew McCutchen,DH,PIT,2.2,112.1,250,16,163,332
Andrew Heaney,SP,LAD,7.8,31.9,250,111,95,463
Trevor Megill,RP,MIL,4.7,53.1,250,15,142,338
Jeff McNeil,2B,NYM,2.5,98.2,249,18,183,294
Josh Smith,SS,TEX,2.3,107.6,249,24,149,314
Andres Gimenez,2B,TOR,2.4,102.3,248,19,140,273
Bryce Elder,SP,ATL,8.2,30.2,248,112,112,439
Ryan Gusto,SP,MIA,7.4,33.7,248,113,88,440
Jake Mangum,OF,TB,2.3,107.3,246,48,152,288
Tommy Pham,OF,PIT,2.3,106.3,246,49,154,309
Yusei Kikuchi,SP,LAA,8.8,27.8,245,114,147,427
Drake Baldwin,C,ATL,2.6,95.7,244,12,168,301
Mike Yastrzemski,OF,KC,2.4,103.4,244,50,176,311
Roman Anthony,OF,BOS,2.6,93.5,243,51,143,303
Javier Baez,SS,DET,2.5,97.4,243,25,135,276
Colton Cowser,OF,BAL,2.4,101.6,243,52,142,304
Jesus Sanchez,OF,HOU,2.3,105.1,243,53,160,305
Jhoan Duran,RP,PHI,3.8,63.5,243,16,140,354
Luis Rengifo,3B,LAA,2.3,104.0,242,16,137,307
Kyle Hart,RP,SD,6.9,35.1,242,17,78,449
Oneil Cruz,OF,PIT,2.4,102.2,241,54,155,328
Joey Ortiz,SS,MIL,2.1,115.2,241,26,140,308
Bailey Falter,SP,KC,7.9,30.7,241,115,83,395
Jake McCarthy,OF,ARI,2.5,94.5,240,55,117,264
Yohan Ramirez,RP,PIT,5.2,46.3,240,18,80,391
Devin Williams,RP,NYY,4.0,60.5,240,19,144,370
Willi Castro,OF,CHC,2.3,104.3,239,56,142,278
Spencer Horwitz,1B,PIT,2.4,100.1,239,21,172,280
Mickey Moniak,OF,COL,2.4,100.6,239,57,159,320
Giancarlo Stanton,DH,NYY,2.6,93.8,239,17,167,338
Spencer Torkelson,1B,DET,2.4,100.4,239,22,188,302
Yerry De Los Santos,RP,NYY,5.4,44.2,239,20,65,489
Austin Hays,OF,CIN,2.2,108.5,238,58,181,317
Alejandro Kirk,C,TOR,2.4,99.0,238,13,185,284
Tyler Stephenson,C,CIN,2.5,96.8,238,14,146,270
Kyle Freeland,SP,COL,7.7,31.1,238,116,95,444
Miguel Andujar,3B,CIN,2.4,100.5,237,17,169,280
Kerry Carpenter,OF,DET,2.5,95.8,237,59,155,310
Ke'Bryan Hayes,3B,CIN,2.0,116.2,237,18,141,317
Noelvi Marte,OF,CIN,2.3,102.8,236,60,157,306
Ryan Mountcastle,1B,BAL,2.2,106.7,236,23,136,299
Matt Shaw,3B,CHC,2.3,101.9,236,19,149,258
Harrison Bader,OF,PHI,2.3,104.3,235,61,141,293
Kody Clemens,1B,MIN,2.3,100.4,235,24,129,260
Nick Gonzales,2B,PIT,2.0,116.9,235,20,143,314
Jackson Holliday,2B,BAL,2.3,104.5,235,21,162,308
Rhys Hoskins,1B,MIL,2.4,99.0,235,25,162,287
Gavin Sheets,OF,SD,2.3,103.4,235,62,151,291
Isaac Collins,OF,MIL,2.3,99.9,234,63,150,262
Trevor Larnach,DH,MIN,2.3,102.7,234,18,151,288
Jack Leiter,SP,TEX,8.1,28.9,234,117,144,433
Max Kepler,OF,PHI,2.4,98.2,233,64,164,270
Mason Miller,RP,SD,4.1,56.5,233,21,143,398
Jake Latz,RP,TEX,5.7,40.5,232,22,89,567
Gavin Lux,DH,CIN,2.2,106.0,231,19,142,279
Brandon Marsh,OF,PHI,2.3,99.4,231,65,138,284
Max Muncy,3B,LAD,2.5,91.5,231,20,168,341
Luis Robert,OF,CWS,2.6,88.0,230,66,150,279
Mike Tauchman,OF,CWS,2.4,97.8,230,67,157,267
Miguel Vargas,3B,CWS,2.4,94.5,230,21,141,281
Andre Pallante,SP,STL,7.4,31.2,230,118,87,426
David Hamilton,2B,BOS,2.3,101.5,229,22,125,279
Alex Verdugo,OF,ATL,2.3,100.9,229,68,125,279
Ryan Walker,RP,SF,4.1,56.0,229,23,105,378
Josh Jung,3B,TEX,2.2,101.7,227,22,148,290
Gabriel Moreno,C,ARI,2.5,90.8,227,15,158,244
Lenyn Sosa,2B,CWS,2.1,109.2,227,23,164,303
Masataka Yoshida,DH,BOS,2.4,94.1,227,20,149,271
Dylan Moore,2B,TEX,2.2,103.9,226,24,101,285
Daysbel Hernández,RP,ATL,3.9,57.2,226,24,85,460
Michael Conforto,OF,LAD,2.3,99.5,224,69,133,281
Anthony Santander,DH,TOR,2.5,88.9,224,21,130,267
Osvaldo Bido,RP,OAK,6.6,34.0,224,25,64,465
Carlos Estevez,RP,KC,4.2,53.8,224,26,78,312
Randy Vásquez,SP,SD,7.1,31.8,224,119,102,408
Wenceel Pérez,OF,DET,2.4,91.3,223,70,145,247
Tomoyuki Sugano,SP,BAL,7.5,29.5,223,120,105,401
Isiah Kiner-Falefa,SS,TOR,2.1,104.5,221,27,122,262
Aaron Ashby,RP,MIL,4.4,50.8,221,27,124,403
Braxton Ashcraft,RP,PIT,6.3,35.0,221,28,84,512
Kyle Hendricks,SP,LAA,7.2,30.7,220,121,112,437
Nick Martinez,SP,CIN,6.9,31.8,220,122,96,448
Matt Svanson,RP,STL,4.4,50.1,220,29,125,411
Eric Wagaman,1B,MIA,1.9,112.9,219,26,139,294
Jake Irvin,SP,WSN,7.4,29.7,219,123,86,404
Bennett Sousa,RP,HOU,4.4,50.1,219,30,96,339
Jo Adell,OF,LAA,2.2,98.1,217,71,149,325
Ty France,1B,TOR,2.1,102.9,217,27,135,279
Ryan Jeffers,C,MIN,2.4,89.3,217,16,139,245
Brooks Lee,SS,MIN,2.1,101.3,217,28,137,270
Michael Massey,2B,KC,2.3,95.2,217,25,121,266
Myles Straw,OF,TOR,1.8,121.0,217,72,135,293
Matt Wallner,OF,MIN,2.5,87.3,217,73,135,281
Colson Montgomery,SS,CWS,2.3,93.3,216,29,142,357
Chase Meidroth,SS,CWS,2.0,107.9,215,30,130,287
Bryan Abreu,RP,HOU,3.5,61.1,215,31,132,420
Kyle Finnegan,RP,DET,3.7,58.3,215,32,96,372
Ramon Laureano,OF,SD,2.3,94.1,214,74,158,297
Kyle Teel,C,CWS,2.4,87.7,214,17,139,244
Ronny Henriquez,RP,MIA,3.7,57.7,214,33,126,316
Paul DeJong,3B,WSN,2.2,94.9,213,23,114,278
Tyler Freeman,OF,COL,2.2,96.7,213,75,142,277
Tyrone Taylor,OF,NYM,2.1,99.9,213,76,122,224
Porter Hodge,RP,CHC,4.2,50.4,213,34,85,269
Jake Burger,1B,TEX,2.5,84.5,212,28,128,259
Ryan McMahon,3B,NYY,2.2,98.6,212,24,126,273
Connor Norby,3B,MIA,2.2,95.1,212,25,133,250
Dillon Dingler,C,DET,2.3,89.8,211,18,137,239
Tyler Fitzgerald,2B,SF,2.4,88.7,211,26,105,246
Nathan Lukes,OF,TOR,2.2,97.7,211,77,145,251
Tyler O'Neill,OF,BAL,2.6,80.9,211,78,133,255
Luke Raley,OF,SEA,2.4,88.1,211,79,109,218
Christopher Morel,OF,TB,2.1,102.1,210,80,122,255
Ben Rice,1B,NYY,2.3,89.3,210,29,137,277
Gordon Graceffo,RP,STL,5.2,40.5,210,35,86,373
David Bednar,RP,NYY,3.4,61.8,209,36,158,393
Jeff Hoffman,RP,TOR,3.8,54.4,209,37,94,330
Mitchell Parker,SP,WSN,7.4,28.2,209,124,74,409
Randy Rodríguez,RP,SF,3.9,53.7,208,38,136,410
José Caballero,OF,NYY,2.1,99.4,207,81,129,275
Edwin Uceta,RP,TB,3.9,53.7,207,39,102,354
Zach McKinstry,3B,DET,2.2,93.6,206,26,141,258
Leody Taveras,OF,SEA,2.3,90.6,206,82,97,240
Jeremiah Estrada,RP,SD,3.2,64.1,206,40,117,357
Daniel Palencia,RP,CHC,3.7,55.8,206,41,100,331
Jose Quintana,SP,MIL,7.5,27.6,206,125,122,372
Nolan Gorman,3B,STL,2.2,92.6,205,27,122,247
Miguel Rojas,2B,LAD,2.1,99.4,205,27,117,255
Dietrich Enns,RP,BAL,6.1,33.8,205,42,80,424
Raisel Iglesias,RP,ATL,3.3,61.6,205,43,106,359
Brad Keller,RP,CHC,3.5,58.8,205,44,88,460
Jordan Leasure,RP,CWS,4.0,51.6,205,45,96,313
Adrian Morejon,RP,SD,3.3,63.0,205,46,109,395
Brett Baty,3B,NYM,2.2,90.9,204,28,118,242
Caleb Boushley,RP,TEX,5.2,38.9,204,47,85,380
Emerson Hancock,SP,SEA,6.3,32.3,204,126,82,424
Kenley Jansen,RP,LAA,3.6,57.0,204,48,107,323
Riley O'Brien,RP,STL,4.1,50.1,204,49,76,370
Bryse Wilson,RP,CWS,4.5,44.9,204,50,90,474
Cam Smith,OF,HOU,2.0,102.3,203,83,121,268
Michael Taylor,OF,CWS,2.1,98.1,202,84,99,253
Jorge Soler,OF,LAA,2.5,81.9,201,85,127,244
Mark Vientos,3B,NYM,2.4,84.1,201,29,125,254
Ryan Helsley,RP,NYM,3.8,53.0,201,51,79,306
Phil Maton,RP,TEX,3.6,56.1,201,52,109,341
Will Vest,RP,DET,3.7,54.8,201,53,91,313
Wilyer Abreu,OF,BOS,2.1,93.6,200,86,153,272
Addison Barger,3B,TOR,2.2,91.1,200,30,143,263
Adam Frazier,2B,KC,2.0,100.0,200,28,125,250
Logan O'Hoppe,C,LAA,2.2,90.7,200,19,114,267
Alek Thomas,OF,ARI,1.9,104.5,200,87,103,253
Jordan Hicks,RP,BOS,4.0,50.6,200,54,69,622
Brant Hurter,RP,DET,4.0,49.5,200,55,100,445
Shinnosuke Ogasawara,RP,WSN,4.9,40.9,200,56,62,306
Jasson Domínguez,OF,NYY,2.2,89.8,199,88,124,235
Trent Grisham,OF,NYY,2.4,84.1,199,89,139,277
Chris Murphy,RP,BOS,4.6,43.4,199,57,62,338
Jonah Heim,C,TEX,2.0,97.1,198,20,123,253
Colt Keith,DH,DET,2.1,94.8,198,22,134,245
JJ Bleday,OF,OAK,2.5,80.2,197,90,121,220
Romy Gonzalez,1B,BOS,2.1,92.4,196,30,140,265
Michael Toglia,1B,COL,2.1,91.8,196,31,101,274
Josh Rojas,3B,CWS,2.0,96.1,195,31,100,240
Abraham Toro,1B,BOS,2.2,88.0,195,32,125,242
Jose Iglesias,2B,SD,2.0,98.9,194,29,105,226
Jose Ferrer,RP,WSN,3.5,54.7,194,58,90,348
