player_display_name,position_group,current_team,is_rookie,draft_round,draft_number,projected_ppg,ppg_median,ppg_floor,ppg_ceiling,projected_games,projected_total,total_floor,total_ceiling,pos_rank
Alec Pierce,WR,IND,0.0,2.0,53.0,10.1,11.3,5.9,14.2,12.3,125,73,175,50
Chase McLaughlin,K,TB,,,,8.2,8.0,6.4,9.3,15.2,125,98,142,7
Mason Taylor,TE,NYJ,0.0,2.0,42.0,9.8,9.1,3.7,12.9,12.6,124,47,163,19
Makai Lemon,WR,PHI,1.0,1.0,20.0,10.4,10.5,3.6,14.3,11.7,123,42,168,51
Wil Lutz,K,DEN,,,,7.7,7.8,6.4,9.0,15.9,123,102,143,8
Chad Ryland,K,ARI,,,,7.8,7.6,6.5,8.8,15.6,123,101,138,9
Jauan Jennings,WR,MIN,0.0,7.0,217.0,11.1,11.1,4.4,13.9,11.0,122,49,154,52
Christian Watson,WR,GB,0.0,2.0,34.0,10.2,10.9,5.8,15.2,11.9,122,69,182,53
Sam LaPorta,TE,DET,0.0,2.0,34.0,9.6,11.1,5.7,14.7,12.7,122,73,186,20
Jake Elliott,K,PHI,,,,7.7,7.9,6.3,8.7,15.8,122,100,138,10
Tyrone Tracy Jr.,RB,NYG,0.0,5.0,166.0,9.1,8.5,3.3,14.6,13.3,121,43,193,31
AJ Barner,TE,SEA,0.0,4.0,121.0,8.8,8.3,3.6,12.7,13.7,120,49,175,21
Woody Marks,RB,HOU,0.0,4.0,116.0,8.9,10.1,2.2,15.9,13.4,120,30,214,32
James Conner,RB,ARI,0.0,3.0,105.0,12.1,10.1,3.3,16.2,9.9,119,33,160,33
Tua Tagovailoa,QB,ATL,0.0,1.0,5.0,13.0,13.5,1.2,17.6,9.2,119,11,161,29
Michael Pittman,WR,PIT,0.0,2.0,34.0,9.6,9.0,4.5,14.6,12.4,119,56,180,54
Rashid Shaheed,WR,SEA,0.0,,,9.6,10.1,2.9,12.9,12.3,118,36,159,56
Riley Patterson,K,MIA,,,,7.7,7.9,5.7,9.1,15.4,118,88,140,11
Cam Skattebo,RB,NYG,0.0,4.0,105.0,12.0,11.2,2.6,18.5,9.8,117,25,181,34
Keon Coleman,WR,BUF,0.0,2.0,33.0,9.4,6.7,2.7,14.2,12.3,116,33,175,57
Ka'imi Fairbairn,K,HOU,,,,8.2,7.9,6.4,10.6,14.2,116,90,150,12
Evan McPherson,K,CIN,,,,7.9,7.7,6.5,9.0,14.8,116,96,133,13
Kenny Gainwell,RB,TB,0.0,5.0,150.0,9.5,9.1,5.4,14.5,12.1,115,65,175,35
Xavier Legette,WR,CAR,0.0,1.0,32.0,8.5,6.7,1.4,13.0,13.6,115,19,176,58
Harrison Butker,K,KC,,,,7.8,8.0,5.7,9.0,14.6,114,83,132,15
Cam Little,K,JAX,,,,8.1,7.8,6.5,9.2,14.0,114,90,130,16
David Montgomery,RB,HOU,0.0,3.0,73.0,9.1,8.1,2.1,15.3,12.3,113,26,189,36
Cade Otton,TE,TB,0.0,4.0,106.0,8.3,7.6,3.6,10.6,13.6,113,49,144,22
Josh Downs,WR,IND,0.0,3.0,79.0,8.1,9.5,3.4,13.2,13.9,112,47,183,59
Jacoby Brissett,QB,ARI,0.0,3.0,91.0,11.5,13.2,2.0,16.9,9.6,111,19,162,30
J.J. McCarthy,QB,MIN,0.0,1.0,10.0,12.6,13.3,0.8,18.8,8.8,111,7,166,31
Michael Penix Jr.,QB,ATL,0.0,1.0,8.0,12.1,11.3,0.7,17.4,9.1,110,7,158,32
Joey Slye,K,TEN,,,,7.1,7.6,5.9,8.8,15.5,110,91,135,18
Blake Grupe,K,IND,,,,7.7,7.9,6.2,8.9,14.4,110,89,128,19
Jacory Croskey-Merritt,RB,WAS,0.0,7.0,245.0,8.6,8.0,2.0,14.6,12.7,109,25,185,37
Chimere Dike,WR,TEN,0.0,4.0,103.0,7.9,7.3,1.0,13.1,13.7,109,14,180,60
Andre Szmyt,K,CLE,,,,7.6,7.5,5.5,9.3,14.3,109,78,134,22
JAX DST,DST,JAX,,,,6.8,6.7,4.4,9.4,15.9,108,70,150,1
Rhamondre Stevenson,RB,NE,0.0,4.0,120.0,9.1,9.2,4.0,14.7,11.8,107,47,174,38
HOU DST,DST,HOU,,,,6.7,6.6,5.1,8.3,16.0,107,82,133,2
LAC DST,DST,LAC,,,,6.7,6.7,4.9,8.4,16.0,107,78,134,3
